customer_id,recency_days,frequency,monetary,total_quantity,n_distinct_products,avg_order_value,tenure_days,avg_days_between_purchases,monetary_per_day,is_uk,churned,recency_ratio,frequency_trend,monetary_trend
12346,234,3,77352.96,74239,25,25784.320000000003,556,185.33333333333334,139.12402877697843,1,1,1.2625899280575539,0.3333333333333333,453.06175158487906
12347,38,6,3402.39,2099,107,567.0649999999999,313,52.166666666666664,10.870255591054313,0,0,0.7284345047923323,0.75,0.8910768957220886
12348,157,4,1388.3999999999999,2488,24,347.09999999999997,347,86.75,4.001152737752161,0,0,1.8097982708933718,0.25,0.3077936746987952
12349,316,2,2221.14,991,89,1110.57,498,249.0,4.460120481927711,0,0,1.2690763052208835,0.0,0.0
12350,219,1,294.40000000000003,196,16,294.40000000000003,219,219.0,1.3442922374429225,0,1,1.0,1.0,1.0
12351,284,1,300.93,261,21,300.93,284,284.0,1.059612676056338,0,1,1.0,1.0,1.0
12352,171,6,985.3100000000001,437,36,164.21833333333333,301,50.166666666666664,3.2734551495016615,0,0,3.408637873754153,0.0,0.0
12353,113,2,406.76,212,23,203.38,317,158.5,1.2831545741324921,0,1,0.7129337539432177,0.5,0.2792069268415109
12354,141,1,1079.4,530,58,1079.4,141,141.0,7.6553191489361705,0,1,1.0,1.0,1.0
12355,123,2,947.61,543,35,473.805,476,238.0,1.9907773109243698,0,1,0.5168067226890757,0.5,0.9390650232006704
12356,154,5,5553.38,3371,103,1110.676,333,66.6,16.676816816816817,0,0,2.3123123123123124,0.2,0.0949078637155721
12357,297,1,11229.99,3878,164,11229.99,297,297.0,37.81141414141414,0,0,1.0,1.0,1.0
12358,59,4,2923.8700000000003,924,55,730.9675000000001,640,160.0,4.568546875000001,0,0,0.36875,0.6666666666666666,0.7215953570776901
12359,98,9,6059.09,2095,230,673.2322222222223,643,71.44444444444444,9.423157076205287,0,0,1.3716951788491447,0.42857142857142855,1.3631978349373721
12360,21,5,2689.11,1955,122,537.822,564,112.8,4.767925531914893,0,0,0.18617021276595744,0.5,1.0506544293086757
12361,196,4,451.25,231,17,112.8125,591,147.75,0.7635363790186125,0,1,1.3265651438240271,0.25,0.6306111411573824
12362,29,4,1582.35,977,88,395.5875,204,51.0,7.756617647058823,0,0,0.5686274509803921,0.6666666666666666,0.7884089728239998
12363,18,2,552.0,408,23,276.0,151,75.5,3.6556291390728477,0,1,0.23841059602649006,0.5,0.8427190936354548
12364,21,1,578.92,552,33,578.92,21,21.0,27.567619047619047,0,0,1.0,1.0,1.0
12365,200,1,320.69,173,21,320.69,200,200.0,1.60345,0,1,1.0,1.0,1.0
12366,542,1,500.24,296,3,500.24,542,542.0,0.9229520295202952,0,1,1.0,1.0,1.0
12368,537,1,917.7,330,18,917.7,537,537.0,1.7089385474860337,0,1,1.0,1.0,1.0
12369,322,3,1511.15,1234,89,503.7166666666667,550,183.33333333333334,2.7475454545454547,0,1,1.7563636363636363,0.0,0.0
12370,183,6,3217.28,2215,149,536.2133333333334,577,96.16666666666667,5.575875216637782,0,0,1.902946273830156,0.75,5.008513498375714
12371,318,3,1819.42,836,90,606.4733333333334,554,184.66666666666666,3.2841516245487368,0,0,1.7220216606498195,0.0,0.0
12372,121,2,842.9200000000001,588,31,421.46000000000004,205,102.5,4.111804878048781,0,0,1.1804878048780487,0.0,0.0
12373,220,3,927.6500000000001,511,35,309.2166666666667,582,194.0,1.5939003436426118,0,1,1.134020618556701,0.3333333333333333,0.5373727340451949
12374,330,2,2046.29,1015,46,1023.145,497,248.5,4.11728370221328,0,0,1.3279678068410463,0.0,0.0
12375,7,1,190.3,86,10,190.3,7,7.0,27.185714285714287,0,0,1.0,1.0,1.0
12376,298,2,383.15,237,10,191.575,326,163.0,1.1753067484662576,0,1,1.8282208588957056,0.0,0.0
12377,224,4,3266.32,2101,128,816.58,498,124.5,6.558875502008032,0,1,1.7991967871485943,0.25,0.20090270222588139
12378,38,2,5416.32,3316,281,2708.16,471,235.5,11.499617834394904,0,1,0.1613588110403397,0.5,2.8456165258749198
12379,79,3,1107.82,611,49,369.2733333333333,443,147.66666666666666,2.5007223476297966,0,0,0.5349887133182845,0.3333333333333333,0.5977693881668059
12380,94,5,5345.39,2494,123,1069.078,571,114.2,9.361453590192646,0,0,0.8231173380035026,0.2,0.11759381584668385
12381,28,1,1028.74,562,61,1028.74,28,28.0,36.74071428571428,0,0,1.0,1.0,1.0
