customer_id,recency_days,frequency,monetary,total_quantity,n_distinct_products,avg_order_value,tenure_days,avg_days_between_purchases,monetary_per_day,is_uk,churned
12346,234,3,77352.96,74239,25,25784.320000000003,556,185.33333333333334,139.12402877697843,1,1
12347,38,6,3402.39,2099,107,567.0649999999999,313,52.166666666666664,10.870255591054313,0,0
12348,157,4,1388.3999999999999,2488,24,347.09999999999997,347,86.75,4.001152737752161,0,0
12349,316,2,2221.14,991,89,1110.57,498,249.0,4.460120481927711,0,0
12350,219,1,294.40000000000003,196,16,294.40000000000003,219,219.0,1.3442922374429225,0,1
12351,284,1,300.93,261,21,300.93,284,284.0,1.059612676056338,0,1
12352,171,6,985.3100000000001,437,36,164.21833333333333,301,50.166666666666664,3.2734551495016615,0,0
12353,113,2,406.76,212,23,203.38,317,158.5,1.2831545741324921,0,1
12354,141,1,1079.4,530,58,1079.4,141,141.0,7.6553191489361705,0,1
12355,123,2,947.61,543,35,473.805,476,238.0,1.9907773109243698,0,1
12356,154,5,5553.38,3371,103,1110.676,333,66.6,16.676816816816817,0,0
12357,297,1,11229.99,3878,164,11229.99,297,297.0,37.81141414141414,0,0
12358,59,4,2923.8700000000003,924,55,730.9675000000001,640,160.0,4.568546875000001,0,0
12359,98,9,6059.09,2095,230,673.2322222222223,643,71.44444444444444,9.423157076205287,0,0
12360,21,5,2689.11,1955,122,537.822,564,112.8,4.767925531914893,0,0
12361,196,4,451.25,231,17,112.8125,591,147.75,0.7635363790186125,0,1
12362,29,4,1582.35,977,88,395.5875,204,51.0,7.756617647058823,0,0
12363,18,2,552.0,408,23,276.0,151,75.5,3.6556291390728477,0,1
12364,21,1,578.92,552,33,578.92,21,21.0,27.567619047619047,0,0
12365,200,1,320.69,173,21,320.69,200,200.0,1.60345,0,1
12366,542,1,500.24,296,3,500.24,542,542.0,0.9229520295202952,0,1
12368,537,1,917.7,330,18,917.7,537,537.0,1.7089385474860337,0,1
12369,322,3,1511.15,1234,89,503.7166666666667,550,183.33333333333334,2.7475454545454547,0,1
12370,183,6,3217.28,2215,149,536.2133333333334,577,96.16666666666667,5.575875216637782,0,0
12371,318,3,1819.42,836,90,606.4733333333334,554,184.66666666666666,3.2841516245487368,0,0
12372,121,2,842.9200000000001,588,31,421.46000000000004,205,102.5,4.111804878048781,0,0
12373,220,3,927.6500000000001,511,35,309.2166666666667,582,194.0,1.5939003436426118,0,1
12374,330,2,2046.29,1015,46,1023.145,497,248.5,4.11728370221328,0,0
12375,7,1,190.3,86,10,190.3,7,7.0,27.185714285714287,0,0
12376,298,2,383.15,237,10,191.575,326,163.0,1.1753067484662576,0,1
12377,224,4,3266.32,2101,128,816.58,498,124.5,6.558875502008032,0,1
12378,38,2,5416.32,3316,281,2708.16,471,235.5,11.499617834394904,0,1
12379,79,3,1107.82,611,49,369.2733333333333,443,147.66666666666666,2.5007223476297966,0,0
12380,94,5,5345.39,2494,123,1069.078,571,114.2,9.361453590192646,0,0
12381,28,1,1028.74,562,61,1028.74,28,28.0,36.74071428571428,0,0
12383,93,5,1628.56,1518,83,325.712,261,52.2,6.239693486590038,0,1
12384,30,1,212.69,60,13,212.69,30,30.0,7.089666666666667,0,0
12385,288,1,1668.4,594,64,1668.4,288,288.0,5.793055555555556,0,1
12386,246,2,401.9,354,10,200.95,275,137.5,1.4614545454545453,0,1
12387,324,1,143.94,134,9,143.94,324,324.0,0.44425925925925924,0,1
12388,57,6,2788.79,1299,77,464.79833333333335,491,81.83333333333333,5.679816700610998,0,0
12389,311,3,1433.33,614,41,477.77666666666664,564,188.0,2.5413652482269504,0,1
12391,373,5,2285.18,911,159,457.03599999999994,571,114.2,4.002066549912434,0,0
12392,500,1,234.75000000000003,73,7,234.75000000000003,500,500.0,0.4695000000000001,0,1
12393,154,5,1877.95,1017,53,375.59000000000003,337,67.4,5.572551928783383,0,0
12394,126,1,351.08,180,20,351.08,126,126.0,2.786349206349206,0,0
12395,21,11,3233.11,2693,121,293.9190909090909,511,46.45454545454545,6.327025440313112,0,0
12396,583,1,931.4300000000001,591,65,931.4300000000001,583,583.0,1.5976500857632934,0,1
12397,44,1,1109.81,697,69,1109.81,44,44.0,25.222954545454545,0,0
12399,28,7,1842.3,2190,66,263.18571428571425,553,79.0,3.3314647377938518,0,1
12400,323,1,205.25,91,11,205.25,323,323.0,0.6354489164086687,0,1
12401,212,1,69.3,10,4,69.3,212,212.0,0.3268867924528302,0,1
12402,232,6,1136.9,576,42,189.48333333333335,579,96.5,1.9635578583765114,0,1
