date,revenue,quantity,n_invoices,n_customers,revenue_roll7_mean,revenue_roll7_std,quantity_roll7_mean,quantity_roll7_std,revenue_roll14_mean,revenue_roll14_std,quantity_roll14_mean,quantity_roll14_std,revenue_roll30_mean,revenue_roll30_std,quantity_roll30_mean,quantity_roll30_std
2009-12-01,52438.61,26070,117,89,,,,,,,,,,,,
2009-12-02,61873.1,31799,115,94,,,,,,,,,,,,
2009-12-03,73059.78,49219,124,106,,,,,,,,,,,,
2009-12-04,39349.21,21192,88,76,,,,,,,,,,,,
2009-12-05,9803.050000000001,5119,30,26,,,,,,,,,,,,
2009-12-06,24285.02,11525,74,63,,,,,,,,,,,,
2009-12-07,42957.47,17936,101,77,43395.177142857145,21654.08553944937,23265.714285714286,14457.45355303261,,,,,,,,
2009-12-08,48694.71,23130,105,88,42860.33428571429,21438.654714433345,22845.714285714286,14405.018682323716,,,,,,,,
2009-12-09,38870.31,17835,87,74,39574.22142857143,19733.815163796404,20850.85714285714,13917.118516759274,,,,,,,,
2009-12-10,42160.37,23576,91,82,35160.020000000004,13450.836884386292,17187.571428571428,6718.808993096493,,,,,,,,
2009-12-11,39447.89,21268,70,58,35174.11714285715,13456.009825334198,17198.428571428572,6726.4154608811505,,,,,,,,
2009-12-12,0.0,0,0,0,33773.68142857143,16664.253808677255,16467.14285714286,8342.640357995613,,,,,,,,
2009-12-13,21902.46,12506,71,63,33433.315714285716,16912.83728791029,16607.285714285714,8253.547574917626,,,,,,,,
2009-12-14,69805.46,45288,87,68,37268.74285714286,21777.336255342554,20514.714285714286,13678.86562931159,40331.96,21104.64214204361,21890.214285714286,13596.56057288342,,,,
2009-12-15,49640.16,27058,98,89,37403.80714285715,21862.77577189725,21075.85714285714,13883.076561393871,40132.07071428571,20994.118575877925,21960.785714285714,13622.463485437864,,,,
2009-12-16,50068.92,24881,98,81,39003.60857142857,22391.310395968667,22082.428571428572,13864.358043284263,39288.91499999999,20278.645550315974,21466.64285714286,13361.104166757515,,,,
2009-12-17,29708.4,15403,103,76,37224.75571428572,22592.440567402085,20914.85714285714,14060.369796329107,36192.38785714286,17894.952596464467,19051.214285714286,10761.908124910331,,,,
2009-12-18,41082.43,17392,66,54,37458.26142857143,22627.666970479917,20361.14285714286,14120.337630861517,36316.18928571429,17924.44330342806,18779.785714285714,10751.677022525524,,,,
2009-12-19,0.0,0,0,0,37458.26142857143,22627.666970479917,20361.14285714286,14120.337630861517,35615.97142857143,19186.87143170713,18414.14285714286,11323.81025747309,,,,
2009-12-20,11255.69,6237,34,31,35937.29428571429,24153.903339482462,19465.571428571428,14879.949673494004,34685.305,20074.23789216101,18036.428571428572,11654.63918666848,,,,
2009-12-21,16071.04,8762,40,29,28260.948571428573,19729.832340122604,14247.57142857143,9879.7214005447,32764.845714285715,20503.476635615018,17381.14285714286,11915.701786086502,,,,
2009-12-22,24979.78,14453,45,16,24738.037142857145,17332.1317998669,12446.857142857143,8153.634024747724,31070.92214285714,20061.019601755874,16761.35714285714,11818.948668636653,,,,
2009-12-23,10664.67,4577,22,12,19108.858571428573,13765.955791128876,9546.285714285714,6420.332642324319,29056.233571428573,20625.856983632348,15814.357142857143,12249.61111851903,,,,
2009-12-24,0.0,0,0,0,14864.80142857143,14512.771865061297,7345.857142857143,6711.449109011932,26044.778571428575,21619.293293795155,14130.357142857143,12712.312176100668,,,,
2009-12-25,0.0,0,0,0,8995.882857142857,9628.188826383239,4861.285714285715,5478.53781326993,23227.072142857145,22298.07593359059,12611.214285714286,13059.771962778683,,,,
2009-12-26,0.0,0,0,0,8995.882857142857,9628.188826383239,4861.285714285715,5478.53781326993,23227.072142857145,22298.07593359059,12611.214285714286,13059.771962778683,,,,
2009-12-27,0.0,0,0,0,7387.927142857143,10115.439102857788,3970.285714285714,5719.391014035364,21662.610714285718,23150.23044172046,11717.92857142857,13488.19881038056,,,,
2009-12-28,0.0,0,0,0,5092.064285714286,9628.26363913708,2718.5714285714284,5448.29826206136,16676.50642857143,19156.458372492147,8483.07142857143,9722.968591190378,,,,
2009-12-29,0.0,0,0,0,1523.5242857142857,4030.866376367404,653.8571428571429,1729.943392963196,13130.780714285715,17065.713904725166,6550.357142857143,8337.167399498021,,,,
2009-12-30,0.0,0,0,0,0.0,0.0,0.0,0.0,9554.429285714286,13629.800209382518,4773.142857142857,6600.026373573667,26603.951,23484.84431192892,14174.2,13545.594643074284
2009-12-31,0.0,0,0,0,0.0,0.0,0.0,0.0,7432.4007142857145,12517.96066129933,3672.9285714285716,5942.849322625335,24855.997333333336,23447.137756980926,13305.2,13592.282230533721
2010-01-01,0.0,0,0,0,0.0,0.0,0.0,0.0,4497.941428571428,8035.750885343893,2430.6428571428573,4496.140269628567,22793.560666666668,22790.821779626458,12245.233333333334,13337.858716847119
2010-01-02,0.0,0,0,0,0.0,0.0,0.0,0.0,4497.941428571428,8035.750885343893,2430.6428571428573,4496.140269628567,20358.234666666667,21073.07023466626,10604.6,11538.827653951079
2010-01-03,0.0,0,0,0,0.0,0.0,0.0,0.0,3693.9635714285714,7868.9642833305625,1985.142857142857,4397.898901436066,19046.594333333334,21074.860778409646,9898.2,11516.983319698213
2010-01-04,13400.800000000001,10636,27,21,1914.4,5065.026309902122,1519.4285714285713,4020.0301349261254,3503.2321428571427,7572.669173988741,2119.0,4641.786625527167,19166.519333333334,21030.637232458135,10082.1,11482.032828998828
2010-01-05,19114.34,11296,36,31,4645.0199999999995,8102.530043889623,3133.1428571428573,5354.251003597394,3084.2721428571426,6357.892341671046,1893.5,4033.3060451503015,18994.163333333334,21008.41854703971,10074.466666666667,11481.116585531856
2010-01-06,8733.0,7456,14,13,5892.591428571429,7938.789654465487,4198.285714285715,5368.687416066284,2946.2957142857144,6199.723971345191,2099.1428571428573,4248.315844718155,17853.34766666667,20587.29390581995,9725.133333333333,11392.76351002698
2010-01-07,73020.89,40612,47,41,16324.147142857142,26102.077312211968,10000.0,14408.623528984297,8162.073571428571,19651.938385254514,5000.0,11078.914803841082,18664.220333333335,22255.418637089715,10307.866666666667,12495.761335785808
2010-01-08,28255.91,12675,42,40,20360.705714285716,25330.29539671673,11810.714285714286,13722.581228450737,10180.352857142858,20192.72025994418,5905.357142857143,11156.511776379004,18310.407,22006.084611127066,10135.866666666667,12423.886272802894
2010-01-09,0.0,0,0,0,20360.705714285716,25330.29539671673,11810.714285714286,13722.581228450737,10180.352857142858,20192.72025994418,5905.357142857143,11156.511776379004,16905.061333333335,21775.47292615228,9350.0,12289.33736043651
2010-01-10,23485.850000000002,13379,34,29,23715.827142857142,23685.97862424499,13722.0,12696.790079911274,11857.913571428571,20257.373016858135,6861.0,11184.733290035603,16372.993333333336,21397.389607187954,9087.033333333333,12108.597889967255
2010-01-11,34122.44,13963,54,36,26676.061428571433,23475.911048510578,14197.285714285714,12624.079368601968,14295.230714285715,20767.257725946853,7858.357142857143,11148.357413380834,17510.408000000003,21403.960929449862,9552.466666666667,12015.260660519596
2010-01-12,40165.42,21243,38,31,29683.358571428573,23693.130890311808,15618.285714285714,12801.65499345411,17164.189285714285,21405.0803844585,9375.714285714286,11438.3902137197,18119.173333333336,21789.429857261035,9843.7,12193.877602135508
2010-01-13,19957.71,8812,28,23,31286.888571428575,22382.50159145862,15812.0,12667.110720286613,18589.739999999998,20830.913968364046,10005.142857142857,11120.82332907431,16457.58166666667,19491.53638900582,8627.833333333334,10192.026850243865
2010-01-14,30490.65,13776,57,46,25211.140000000003,12950.94810332433,11978.285714285714,6441.504785743924,20767.643571428573,20325.615191515433,10989.142857142857,10771.422824786407,15819.264666666668,18663.351306347122,8185.1,9637.20720866572
2010-01-15,13339.9,8408,45,37,23080.28142857143,13578.378325329611,11368.714285714286,6565.292471634086,21720.49357142857,19576.012910652273,11589.714285714286,10337.227640750842,14594.964,17508.067866938007,7636.0,9107.875341778632
2010-01-16,0.0,0,0,0,23080.28142857143,13578.378325329611,11368.714285714286,6565.292471634086,21720.49357142857,19576.012910652273,11589.714285714286,10337.227640750842,13604.684000000001,17463.872229942655,7122.566666666667,9089.065422474574
2010-01-17,17393.2,9911,40,35,22209.902857142857,13742.329041933073,10873.285714285714,6518.996950305715,22962.864999999998,18620.089384958028,12297.642857142857,9808.30850003547,12815.043,16697.344932058877,6873.2,8898.2190872184
2010-01-18,20252.88,10329,40,32,20228.53714285714,12698.755658250819,10354.142857142857,6375.046076397442,23452.299285714285,18438.583630539706,12275.714285714286,9812.651444621188,13490.139000000001,16570.291196216258,7217.5,8822.612377021464
2010-01-19,31575.16,15264,46,41,19001.35714285714,10710.393149831483,9500.0,4903.737384213522,24342.35785714286,18513.674525513532,12559.142857142857,9839.44587133569,14167.454666666667,16888.043604014885,7518.4,8941.15772647229
2010-01-20,16816.95,9474,35,30,18552.677142857145,10729.421824476713,9594.57142857143,4894.632565615206,24919.782857142854,18111.071228462362,12703.285714285714,9773.49710995208,14192.318333333333,16891.491562224764,7542.133333333333,8945.51645637435
2010-01-21,27359.23,72900,48,47,18105.331428571426,10200.9991838748,18040.85714285714,24611.85118615672,21658.235714285714,11791.288997308859,15009.57142857143,17567.581418030226,14271.633333333333,16949.378623800945,9490.366666666667,14891.177599813767
2010-01-22,34054.340000000004,18544,43,38,21064.537142857145,11508.877403924205,19488.85714285714,24246.111718710497,22072.409285714286,12137.611569177123,15428.785714285714,17577.60925451455,15051.288999999999,17311.816819404874,9955.933333333332,14950.484335213732
2010-01-23,0.0,0,0,0,21064.537142857145,11508.877403924205,19488.85714285714,24246.111718710497,22072.409285714286,12137.611569177123,15428.785714285714,17577.60925451455,15051.288999999999,17311.816819404874,9955.933333333332,14950.484335213732
2010-01-24,15876.84,8843,50,48,20847.914285714283,11603.379978733004,19336.285714285714,24319.675098667787,21528.908571428572,12239.383945048896,15104.785714285714,17659.91070705961,15580.517,17076.91405103112,10250.7,14834.144983437875
2010-01-25,22327.29,10025,57,44,21144.25857142857,11612.136673457115,19292.85714285714,24338.704515158377,20686.397857142856,11699.88688445528,14823.5,17710.784731560943,16324.76,16859.621542688183,10584.866666666667,14707.642786199176
2010-01-26,37743.54,22920,56,45,22025.455714285716,12717.096034070119,20386.571428571428,24299.472640760083,20513.40642857143,11403.880649809584,14943.285714285714,17763.13619411137,17582.878,17007.035905958885,11348.866666666667,14734.118469900306
2010-01-27,27938.86,17834,56,47,23614.300000000007,12652.50979423582,21580.85714285714,23875.487432571033,21083.48857142857,11572.211647877622,15587.714285714286,17687.08052366329,18514.173333333332,16774.37318154203,11943.333333333334,14619.768886642854
2010-01-28,19796.87,11242,55,47,22533.96285714286,12602.211428050654,12772.57142857143,7641.658455622126,20319.647142857146,11252.013223336056,15406.714285714286,17719.981977888783,19174.069,16406.280442909934,12318.066666666668,14446.127666164602
2010-01-29,18893.08,10155,48,37,20368.068571428572,11551.28888429978,11574.142857142857,7232.546103749172,20716.302857142855,11083.657212210039,15531.5,17672.994168635243,19803.838333333333,16002.533044722904,12656.566666666668,14265.383898488826
2010-01-30,0.0,0,0,0,20368.068571428572,11551.28888429978,11574.142857142857,7232.546103749172,20716.302857142855,11083.657212210039,15531.5,17672.994168635243,19803.838333333333,16002.533044722904,12656.566666666668,14265.383898488826
2010-01-31,18250.35,10718,53,47,20707.141428571427,11431.69901619386,11842.0,7148.775489550655,20777.527857142857,11066.242415065159,15589.142857142857,17654.55844755178,20412.183333333334,15564.625737022881,13013.833333333334,14070.35809676727
2010-02-01,18116.71,9228,63,49,20105.63,11443.012394636304,11728.142857142857,7188.7725987257845,20624.944285714282,11088.73693058356,15510.5,17682.222909986784,21016.073666666667,15089.550071014419,13321.433333333332,13875.565816815597
2010-02-02,20854.52,11092,45,34,17692.912857142856,8508.542129009167,10038.42857142857,5247.726169721619,19859.184285714287,10635.272123518405,15212.5,17721.80798099857,21711.22433333333,14559.029468372619,13691.166666666666,13654.375552543037
2010-02-03,20674.46,10274,49,41,16655.141428571427,7424.544191529941,8958.42857142857,4007.317051642051,20134.720714285715,10600.303955545114,15269.642857142857,17703.161171893054,21953.679666666667,14476.190943550993,13679.1,13657.328204275911
2010-02-04,22277.71,12787,62,51,17009.547142857144,7655.136987273568,9179.142857142857,4192.3302362199465,19771.755,10419.35411578689,10975.857142857143,6208.046959788956,22059.125333333333,14466.313551150643,13728.8,13651.068381581737
2010-02-05,21273.54,10336,39,34,17349.61285714286,7804.177940854746,9205.0,4199.903530638157,18858.840714285714,9599.333195885936,10389.57142857143,5813.369269514547,22477.14333333333,14247.494591019124,13824.8,13615.514683498073
2010-02-06,0.0,0,0,0,17349.61285714286,7804.177940854746,9205.0,4199.903530638157,18858.840714285714,9599.333195885936,10389.57142857143,5813.369269514547,20043.113666666664,11233.506828463715,12471.066666666668,12858.216420353314
2010-02-07,16867.83,11177,30,29,17152.109999999997,7795.072114975376,9270.57142857143,4230.930861214957,18929.625714285714,9579.28542240431,10556.285714285714,5799.054689921724,19663.511000000002,11138.420694564315,12421.133333333333,12860.305642673833
2010-02-08,15886.72,8599,58,45,16833.54,7794.648232856098,9180.714285714286,4238.658031118114,18469.585,9558.192007241936,10454.42857142857,5821.583933475952,20193.068333333336,10532.48768439462,12707.766666666666,12668.309313981585
2010-02-09,18625.49,10850,54,51,16515.10714285714,7647.137315082281,9146.142857142857,4221.4228813111495,17104.010000000002,7795.952015250742,9592.285714285714,4598.83643191105,20031.05633333333,10517.461772457902,12623.466666666667,12672.102557310229
2010-02-10,8835.51,3752,31,24,14823.828571428572,7879.565220000888,8214.42857142857,4630.884395632704,15739.485,7416.231682454514,8586.42857142857,4178.327392892714,19188.158666666666,10361.320531744137,12283.1,12771.623179722596
2010-02-11,14856.27,9025,56,48,13763.622857142856,7177.484927841402,7677.0,4211.044051063843,15386.585000000001,7325.301562392907,8428.07142857143,4111.416234832442,18344.520333333334,9596.550976934343,11875.833333333334,12670.4595678657
2010-02-12,11002.27,7645,32,27,12296.298571428573,6393.390721796036,7292.571428571428,4047.5012397421783,14822.955714285712,7338.307172062863,8248.785714285714,4084.9590559772814,18046.005666666668,9683.531804055228,11836.933333333332,12681.976491049814
2010-02-13,0.0,0,0,0,12296.298571428571,6393.390721796036,7292.571428571428,4047.501239742178,14822.955714285712,7338.307172062863,8248.785714285714,4084.9590559772814,17029.650666666665,9929.323832175034,11377.733333333334,12857.535528143453
2010-02-14,17685.58,10894,45,38,12413.12,6497.46865479165,7252.142857142857,4003.408107624135,14782.615000000002,7319.544862670227,8261.357142857143,4093.404669186043,17174.506666666668,9905.308863307202,11460.6,12845.741346105111
2010-02-15,40888.88,96419,44,35,15984.857142857143,12667.573173355811,19797.85714285714,34017.920323600876,16409.198571428573,10114.21173068169,14489.285714285714,23932.025178468644,18537.469333333334,10267.150450924028,14674.566666666668,19967.280112263892
2010-02-16,30367.23,16694,61,51,17662.248571428572,13802.10535689565,20632.714285714286,33832.93340181174,17088.677857142855,10736.23159604693,14889.42857142857,23917.681572472648,18969.937,10488.154253510396,14900.666666666666,19949.875883000535
2010-02-17,26397.72,25011,48,41,20171.135714285716,13523.58568143678,23669.714285714286,33009.219882301,17497.48214285714,10989.251511981476,15942.07142857143,24022.989987043293,19174.765000000003,10573.727023706118,15390.066666666668,20013.841949551046
2010-02-18,35749.14,19852,63,58,23155.83142857143,14430.244734097465,25216.428571428572,32457.69706791258,18459.727142857144,11984.724425843357,16446.714285714286,24025.82006421928,19313.897666666668,10768.195131801936,15543.0,20030.367906824842
2010-02-19,25817.06,12581,58,30,25272.230000000003,13400.31629126094,25921.571428571428,32063.559174745104,18784.264285714286,12127.449212746646,16607.071428571428,23989.361909827014,19613.90133333333,10821.471428063642,15646.566666666668,20005.92362049789
2010-02-20,0.0,0,0,0,25272.230000000003,13400.31629126094,25921.571428571428,32063.559174745104,18784.264285714286,12127.449212746646,16607.071428571428,23989.361909827014,18701.927,11288.974123396592,13216.566666666668,17015.798781869085
2010-02-21,11392.68,5551,37,34,24373.244285714285,14182.37334988736,25158.285714285714,32540.96137544334,18393.182142857142,12281.308129359813,16205.214285714286,24134.00648041479,17946.538333333334,10980.228801798328,12783.466666666667,17040.860565393854
