date,revenue,quantity,n_invoices,n_customers,revenue_roll7_mean,revenue_roll7_std,quantity_roll7_mean,quantity_roll7_std,revenue_roll14_mean,revenue_roll14_std,quantity_roll14_mean,quantity_roll14_std,revenue_roll30_mean,revenue_roll30_std,quantity_roll30_mean,quantity_roll30_std,is_partial_day
2009-12-01,52438.61,26070,117,89,,,,,,,,,,,,,False
2009-12-02,61873.1,31799,115,94,,,,,,,,,,,,,False
2009-12-03,73059.78,49219,124,106,,,,,,,,,,,,,False
2009-12-04,39349.21,21192,88,76,,,,,,,,,,,,,False
2009-12-05,9803.05,5119,30,26,,,,,,,,,,,,,False
2009-12-06,24285.02,11525,74,63,,,,,,,,,,,,,False
2009-12-07,42957.47,17936,101,77,43395.177142857145,21654.085539449374,23265.714285714286,14457.45355303261,,,,,,,,,False
2009-12-08,48694.71,23130,105,88,42860.33428571429,21438.65471443335,22845.714285714286,14405.018682323716,,,,,,,,,False
2009-12-09,38870.31,17835,87,74,39574.22142857143,19733.815163796404,20850.85714285714,13917.118516759274,,,,,,,,,False
2009-12-10,42160.37,23576,91,82,35160.020000000004,13450.836884386294,17187.571428571428,6718.808993096493,,,,,,,,,False
2009-12-11,39447.89,21268,70,58,35174.11714285715,13456.009825334202,17198.428571428572,6726.415460881151,,,,,,,,,False
2009-12-12,0.0,0,0,0,33773.68142857143,16664.25380867726,16467.14285714286,8342.640357995613,,,,,,,,,False
2009-12-13,21902.46,12506,71,63,33433.31571428572,16912.837287910294,16607.285714285714,8253.547574917626,,,,,,,,,False
2009-12-14,69805.46,45288,87,68,37268.74285714286,21777.336255342558,20514.714285714286,13678.86562931159,40331.96,21104.64214204361,21890.214285714286,13596.56057288342,,,,,False
2009-12-15,49640.16,27058,98,89,37403.80714285715,21862.77577189725,21075.85714285714,13883.076561393873,40132.07071428571,20994.118575877925,21960.785714285717,13622.463485437864,,,,,False
2009-12-16,50068.92,24881,98,81,39003.60857142857,22391.310395968667,22082.42857142857,13864.358043284265,39288.91499999999,20278.645550315978,21466.64285714286,13361.104166757515,,,,,False
2009-12-17,29708.4,15403,103,76,37224.75571428572,22592.440567402085,20914.85714285714,14060.369796329109,36192.38785714286,17894.952596464467,19051.214285714286,10761.908124910333,,,,,False
2009-12-18,41082.43,17392,66,54,37458.26142857143,22627.66697047992,20361.14285714286,14120.337630861515,36316.18928571429,17924.443303428063,18779.785714285717,10751.677022525524,,,,,False
2009-12-19,0.0,0,0,0,37458.26142857143,22627.66697047992,20361.14285714286,14120.337630861515,35615.97142857143,19186.87143170713,18414.14285714286,11323.81025747309,,,,,False
2009-12-20,11255.69,6237,34,31,35937.29428571429,24153.903339482466,19465.571428571428,14879.949673494004,34685.305,20074.23789216101,18036.42857142857,11654.63918666848,,,,,False
2009-12-21,16071.04,8762,40,29,28260.948571428573,19729.832340122604,14247.57142857143,9879.7214005447,32764.845714285715,20503.476635615018,17381.14285714286,11915.701786086502,,,,,False
2009-12-22,24979.78,14453,45,16,24738.037142857145,17332.1317998669,12446.857142857143,8153.634024747724,31070.92214285714,20061.019601755877,16761.35714285714,11818.948668636653,,,,,False
2009-12-23,10664.67,4577,22,12,19108.858571428573,13765.955791128876,9546.285714285714,6420.332642324319,29056.233571428573,20625.856983632348,15814.357142857143,12249.61111851903,,,,,False
2009-12-24,0.0,0,0,0,14864.80142857143,14512.771865061295,7345.857142857143,6711.449109011932,26044.77857142857,21619.293293795155,14130.357142857143,12712.312176100668,,,,,False
2009-12-25,0.0,0,0,0,8995.882857142857,9628.18882638324,4861.285714285715,5478.53781326993,23227.072142857145,22298.07593359059,12611.214285714286,13059.771962778685,,,,,False
2009-12-26,0.0,0,0,0,8995.882857142857,9628.18882638324,4861.285714285715,5478.53781326993,23227.072142857145,22298.07593359059,12611.214285714286,13059.771962778685,,,,,False
2009-12-27,0.0,0,0,0,7387.927142857143,10115.439102857788,3970.285714285714,5719.391014035364,21662.61071428572,23150.23044172046,11717.92857142857,13488.19881038056,,,,,False
2009-12-28,0.0,0,0,0,5092.064285714286,9628.26363913708,2718.5714285714284,5448.29826206136,16676.50642857143,19156.458372492147,8483.07142857143,9722.968591190378,,,,,False
2009-12-29,0.0,0,0,0,1523.5242857142855,4030.866376367404,653.8571428571429,1729.943392963196,13130.780714285716,17065.713904725166,6550.357142857143,8337.167399498021,,,,,False
2009-12-30,0.0,0,0,0,0.0,0.0,0.0,0.0,9554.429285714286,13629.800209382518,4773.142857142857,6600.026373573667,26603.951,23484.84431192892,14174.2,13545.594643074284,False
2009-12-31,0.0,0,0,0,0.0,0.0,0.0,0.0,7432.400714285714,12517.96066129933,3672.928571428572,5942.849322625335,24855.997333333336,23447.13775698093,13305.2,13592.28223053372,False
2010-01-01,0.0,0,0,0,0.0,0.0,0.0,0.0,4497.941428571428,8035.750885343893,2430.6428571428573,4496.140269628567,22793.560666666668,22790.82177962646,12245.233333333334,13337.85871684712,False
2010-01-02,0.0,0,0,0,0.0,0.0,0.0,0.0,4497.941428571428,8035.750885343893,2430.6428571428573,4496.140269628567,20358.234666666667,21073.070234666266,10604.6,11538.82765395108,False
2010-01-03,0.0,0,0,0,0.0,0.0,0.0,0.0,3693.9635714285714,7868.964283330562,1985.142857142857,4397.898901436066,19046.59433333333,21074.86077840965,9898.2,11516.983319698213,False
2010-01-04,13400.8,10636,27,21,1914.4,5065.026309902122,1519.428571428571,4020.030134926125,3503.2321428571427,7572.669173988741,2119.0,4641.786625527167,19166.519333333334,21030.63723245813,10082.1,11482.032828998828,False
2010-01-05,19114.34,11296,36,31,4645.02,8102.530043889623,3133.1428571428573,5354.251003597394,3084.2721428571426,6357.892341671046,1893.5,4033.3060451503015,18994.16333333333,21008.41854703971,10074.466666666667,11481.116585531856,False
